g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00035,FTL,134790,3999,FTL1; MGC71996; NBIA3,FTL-related hereditary hyperferritinemia-cataract syndrome,600886,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0008024; HP:0003281; HP:0010693; HP:0000006,19176363; 12200611; 7669675; 9414300; 9414313; 7493028; 9226182; 9292547; 11849230; 10759702,DD; Eye,,2019-10-16 15:56:51+00:00
G2P00037,COL2A1,120140,2200,AOM; SEDC; STL1,COL2A1-related Kniest dysplasia,156550,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0006172; HP:0002098; HP:0000175; HP:0004619; HP:0000926; HP:0000470; HP:0000518; HP:0000541; HP:0003521; HP:0005280; HP:0003417; HP:0000006; HP:0003037; HP:0000947; HP:0001288; HP:0002663; HP:0002829; HP:0000405; HP:0008839; HP:0000545; HP:0001270; HP:0002827; HP:0000403; HP:0008271; HP:0000311; HP:0003273; HP:0003015; HP:0000272; HP:0000023; HP:0001537; HP:0000520; HP:0002812; HP:0002779; HP:0200003,7874117; 7981752; 7849719; 26626311; 26443184; 8702139; 8863156; 8893763; 9452022,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00040,GJA1,121014,4274,CX43; GJAL; ODD; ODDD; ODOD; SDTY3,GJA1-related Hallermann-Streiff syndrome,234100,,biallelic_autosomal,,limited,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0002650; HP:0000588; HP:0001155; HP:0000160; HP:0000612; HP:0002069; HP:0000369; HP:0000430; HP:0001739; HP:0000689; HP:0000653; HP:0000518; HP:0000958; HP:0000541; HP:0002870; HP:0000248; HP:0011069; HP:0002092; HP:0006532; HP:0003100; HP:0002007; HP:0000482; HP:0000592; HP:0003307; HP:0001592; HP:0000268; HP:0002414; HP:0002645; HP:0000535; HP:0000242; HP:0001382; HP:0004334; HP:0002205; HP:0010539; HP:0001518; HP:0000494; HP:0000767; HP:0000639; HP:0003508; HP:0003016; HP:0000752; HP:0000695; HP:0000883; HP:0003745; HP:0001009; HP:0002213; HP:0000218; HP:0000028; HP:0006611; HP:0000460; HP:0012231; HP:0000272; HP:0001249; HP:0000486; HP:0008070; HP:0000568; HP:0000233; HP:0001266; HP:0002691; HP:0000252; HP:0000611; HP:0000347; HP:0002779; HP:0004782; HP:0000232; HP:0001547,14981729; 14974090,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:26+00:00
G2P00041,PLK4,605031,11397,SAK; STK18,"PLK4-related microcephaly, growth failure and retinopathy",616171,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,25344692,DD; Eye,,2015-07-22 16:14:12+00:00
G2P00043,CLN3,607042,2074,BTN1; BTS; JNCL,CLN3-related neuronal ceroid lipofuscinosis,204200,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000726; HP:0000529; HP:0000550; HP:0000618; HP:0002074; HP:0002361; HP:0002059; HP:0000007; HP:0000510; HP:0000648; HP:0001336; HP:0001260; HP:0001250; HP:0003208; HP:0001317; HP:0003463; HP:0003205; HP:0000709; HP:0001300; HP:0000739; HP:0000608; HP:0001249; HP:0001922; HP:0002505,7553855; 7887420; 9450775; 19489875; 10749980; 9311735,DD; Eye,,2015-07-22 16:14:12+00:00
G2P00050,FOXE3,601094,3808,FKHL12; FREAC8,FOXE3-related congenital primary aphakia,610256,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007779; HP:0007707; HP:0000659; HP:0000568; HP:0000007; HP:0000526; HP:0007700; HP:0000647,11159941; 16826526; 20361012; 29136273; 20140963; 22204637; 20664696; 27669367; 29878917,DD; Eye,,2018-01-20 15:35:29+00:00
G2P00052,CLN8,607837,2079,C8ORF61; EPMR; FLJ39417; TLCD6,CLN8-related neuronal ceroid lipofuscinosis,600143,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000529; HP:0002069; HP:0000750; HP:0001272; HP:0002074; HP:0002059; HP:0002353; HP:0000711; HP:0003677; HP:0000007; HP:0001268; HP:0001336; HP:0002376; HP:0001250; HP:0000737; HP:0002312; HP:0003205; HP:0001251; HP:0001249; HP:0002384,19431184; 16570191; 10508524,DD; Eye,,2015-07-22 16:14:13+00:00
G2P00053,MKKS,604896,7108,BBS6,MKKS-related Mckusick-Kaufman syndrome,236700,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0001513; HP:0000143; HP:0000135; HP:0000518; HP:0001159; HP:0001712; HP:0002251; HP:0008734; HP:0002564; HP:0000145; HP:0000678; HP:0001263; HP:0000822; HP:0000113; HP:0000007; HP:0002023; HP:0002099; HP:0000510; HP:0000501; HP:0000969; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0006159; HP:0000668; HP:0009806; HP:0000639; HP:0010442; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000028; HP:0000819; HP:0002089; HP:0001586; HP:0000137; HP:0001395; HP:0000072; HP:0010741; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0000126; HP:0001374; HP:0009466; HP:0000148; HP:0002141; HP:0000556,10802661,DD; Eye,,2017-08-29 10:12:57+00:00
G2P00056,LRPAP1,104225,6701,A2MRAP; ALPHA-2-MRAP; HBP44; RAP,"LRPAP1-related myopia, extreme",615431,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,23830514,DD; Eye,,2017-08-29 08:44:22+00:00
G2P00061,SLC4A11,610206,16438,BTR1; CDPD1; CHED2; DJ794I6.2; FECD4; NABC1,SLC4A11-related corneal endothelial dystrophy with or without deafness,217700,,biallelic_autosomal,potential secondary finding,strong,absent gene product,,loss of function,inferred,,HP:0000407; HP:0001131; HP:0007957; HP:0000007; HP:0003577,24351571; 17220209; 16767101; 17679935; 20848555; 31420327; 30856043,DD; Eye,,2022-08-03 13:23:11+00:00
G2P00064,VSX2,142993,1975,CHX10; HOX10; RET1,VSX2-related microphthalmia with cataracts and iris abnormalities,610092,,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0000007; HP:0000589; HP:0000568; HP:0000518,,DD; Eye,,2017-08-31 09:00:29+00:00
G2P00077,IFT140,614620,29077,GS114; KIAA0590; WDTC2,IFT140-related short-rib thoracic dysplasia with or without polydactyly,266920,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003593; HP:0100864; HP:0003774; HP:0000572; HP:0002240; HP:0000107; HP:0004322; HP:0003090; HP:0000112; HP:0000110; HP:0003812; HP:0010579; HP:0000007; HP:0001363; HP:0000510; HP:0000090; HP:0001903; HP:0001396; HP:0000773; HP:0002652; HP:0000639; HP:0010442; HP:0001251; HP:0009803; HP:0003828; HP:0001395; HP:0100543; HP:0000252; HP:0000556,22503633; 26968735; 26359340,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00082,SLC2A1,138140,11005,CSE; DYT18; DYT9; GLUT; GLUT-1; GLUT1; HTLVR,SLC2A1-related glucose transporter type 1 deficiency syndrome,606777,MONDO:0011724,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003593; HP:0002076; HP:0003487; HP:0000750; HP:0002360; HP:0001347; HP:0002059; HP:0002353; HP:0003829; HP:0007704; HP:0003812; HP:0001263; HP:0000006; HP:0000007; HP:0001257; HP:0011972; HP:0001336; HP:0001250; HP:0100660; HP:0001260; HP:0002268; HP:0000737; HP:0005484; HP:0001251; HP:0001269; HP:0001328; HP:0001332; HP:0001923; HP:0003470; HP:0001939; HP:0001249; HP:0001266; HP:0001289; HP:0011973,10980529; 11136715; 1714544; 20221955; 18606970; 9462754; 11603379; 18577546; 19901175; 18451999; 19630075; 14605501; 18403583,DD; Eye,,2020-12-02 13:08:57+00:00
G2P00092,CRYBB2,123620,2398,CCA2; CRYB2; CRYB2A,CRYBB2-related cataract,601547,,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,,loss of function,inferred,,HP:0008024; HP:0003812; HP:0010693; HP:0007787; HP:0007976; HP:0010922; HP:0000006; HP:0007834; HP:0003682,8812489; 11424921; 16179907; 10634616; 9158139; 27385965; 24312286; 21245961; 18449377,DD; Eye,,2024-12-11 11:23:42+00:00
G2P00095,PDE6G,180073,8789,PDEG; RP57,PDE6G-related retinitis pigmentosa,613582,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000543; HP:0011505; HP:0000007; HP:0000510; HP:0007843; HP:0000556,20655036,DD; Eye,,2017-08-29 14:27:13+00:00
G2P00097,JAM3,606871,15532,JAM-3; JAM-C; JAMC,"JAM3-related hemorrhagic destruction of the brain, subependymal calcification, and cataracts",613730,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000086; HP:0000800; HP:0005484; HP:0001263; HP:0000007; HP:0002240; HP:0001321; HP:0001257; HP:0003577; HP:0001347; HP:0000028; HP:0002119; HP:0001250,23255084; 21109224,DD; Eye,,2017-08-28 11:35:58+00:00
G2P00100,BBS10,610148,26291,C12ORF58; FLJ23560,BBS10-related Bardet-Biedl syndrome,615987,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0000026; HP:0003774; HP:0000798; HP:0001773; HP:0000141; HP:0001162; HP:0000750; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0007641; HP:0001712; HP:0002251; HP:0008734; HP:0000110; HP:0000678; HP:0001263; HP:0000822; HP:0000505; HP:0000007; HP:0000548; HP:0002099; HP:0000510; HP:0000501; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0007401; HP:0009806; HP:0000639; HP:0010442; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000819; HP:0000003; HP:0004409; HP:0000137; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0000458; HP:0001959; HP:0009466; HP:0000148; HP:0002141; HP:0000556,16582908; 20805367; 26762677,DD; Eye,,2025-01-21 22:05:58+00:00
G2P00107,IFT172,607386,30391,BBS20; NPHP17; OSM-1; SLB; WIM,IFT172-related short-rib thoracic dysplasia with or without polydactyly,266920,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24140113; 25168386,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00108,INPP5E,613037,21474,CORS1; JBTS1; PHARBIN; PPI5PIV,"INPP5E-related intellectual development disorder, truncal obesity, retinal dystrophy, and micropenis",610156,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002342; HP:0000054; HP:0001956; HP:0008915; HP:0001249; HP:0000505; HP:0000007; HP:0007910; HP:0000750; HP:0000556; HP:0000518,19668215,DD; Eye,,2015-07-22 16:14:16+00:00
G2P00113,DMPK,605377,2933,DM; DM1; DM1PK; DMK; MDPK; MT-PK,DMPK-related dystrophia myotonica,160900,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0002098; HP:0000029; HP:0000135; HP:0001558; HP:0000518; HP:0002059; HP:0000006; HP:0004749; HP:0002292; HP:0011705; HP:0001252; HP:0001324; HP:0006887; HP:0001561; HP:0005110; HP:0001349; HP:0001081; HP:0002486; HP:0002015; HP:0008770; HP:0002189; HP:0008872,,DD; Eye; Skin,,2018-01-21 21:15:11+00:00
G2P00123,HOXA1,142955,5099,HOX1; HOX1F,HOXA1-related Bosley-Salih-Alorainy syndrome,601536,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000407; HP:0010628; HP:0002363; HP:0009145; HP:0000496; HP:0001263; HP:0009921; HP:0011103; HP:0002194; HP:0000007; HP:0007110,18412118; 16155570,DD; Eye,,2017-05-02 13:54:14+00:00
G2P00126,ACTB,102630,132,,ACTB-related Baraitser-Winter syndrome,243310,MONDO:0013812,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,gain of function,inferred,,HP:0002162; HP:0001643; HP:0000463; HP:0000612; HP:0000567; HP:0008897; HP:0004322; HP:0000470; HP:0001650; HP:0000219; HP:0001263; HP:0000006; HP:0000007; HP:0001339; HP:0000396; HP:0000243; HP:0001647; HP:0001250; HP:0001252; HP:0000307; HP:0001274; HP:0002553; HP:0001302; HP:0003196; HP:0005487; HP:0000154; HP:0000028; HP:0000179; HP:0000407; HP:0001939; HP:0000054; HP:0007930; HP:0001249; HP:0000431; HP:0000316; HP:0000568; HP:0000278; HP:0000343; HP:0000252; HP:0000508; HP:0000637; HP:0000369,22366783; 25052316; 27625340; 38592426; 34970860,DD; Eye,,2015-07-22 16:14:17+00:00
G2P00127,PXDN,605158,14966,D2S448; D2S448E; KIAA0230; MG50; PRG2; PXN,PXDN-related anterior segment dysgenesis with sclerocornea,,MONDO:0010015,biallelic_autosomal,,strong,absent gene product,frameshift_variant; missense_variant; stop_gained,undetermined,inferred,,HP:0007957; HP:0000482; HP:0000568; HP:0001087; HP:0007700; HP:0000647,21907015; 27409795; 24939590,DD; Eye,,2024-08-20 16:30:49+00:00
G2P00129,EBP,300205,3133,CDPX2; CHO2; CPX; CPXD,EBP-related chondrodysplasia punctata,302960,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0008131; HP:0002342; HP:0001305; HP:0003462; HP:0008897; HP:0002937; HP:0000653; HP:0000470; HP:0000518; HP:0003465; HP:0008420; HP:0002007; HP:0100556; HP:0007431; HP:0000765; HP:0010655; HP:0000501; HP:0011120; HP:0000969; HP:0000535; HP:0001776; HP:0000377; HP:0000494; HP:0001596; HP:0000639; HP:0002777; HP:0000365; HP:0001019; HP:0001561; HP:0002999; HP:0001508; HP:0002644; HP:0003828; HP:0000272; HP:0008070; HP:0000568; HP:0000126; HP:0004241; HP:0100259; HP:0003577; HP:0002787; HP:0001423,10391219; 10942423; 12503101; 11038443; 10391218,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:26+00:00
G2P00138,COL9A1,120210,2217,,COL9A1-related Stickler syndrome,614134,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0030663; HP:0000407; HP:0000541; HP:0004327; HP:0003812; HP:0007773; HP:0000655; HP:0000007; HP:0012368; HP:0002656; HP:0002857; HP:0011530; HP:0000545; HP:0030289; HP:0006361,16909383; 21421862; 31090205,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00145,BBS4,600374,969,,BBS4-related Bardet-Biedl syndrome,615982,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0000107; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0000546; HP:0001712; HP:0002251; HP:0008734; HP:0000678; HP:0001263; HP:0000822; HP:0000007; HP:0002099; HP:0000510; HP:0000501; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0000662; HP:0000639; HP:0010442; HP:0009806; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000028; HP:0000819; HP:0004409; HP:0000137; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0000458; HP:0009466; HP:0000148; HP:0002141; HP:0000556,11381270; 12016587,DD; Eye,,2025-01-21 22:07:10+00:00
G2P00148,BUB1B,602860,1149,BUB1A; BUBR1; MAD3L; SSK1,BUB1B-related mosaic variegated aneuploidy syndrome,257300,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002123; HP:0001511; HP:0000463; HP:0000286; HP:0002069; HP:0000175; HP:0000062; HP:0001305; HP:0000107; HP:0008897; HP:0001562; HP:0004322; HP:0000238; HP:0000518; HP:0000470; HP:0000207; HP:0006849; HP:0000248; HP:0005280; HP:0003812; HP:0011344; HP:0001290; HP:0000007; HP:0000348; HP:0001518; HP:0001274; HP:0000047; HP:0000639; HP:0002667; HP:0006872; HP:0001321; HP:0005387; HP:0000028; HP:0001909; HP:0002119; HP:0000048; HP:0002187; HP:0000054; HP:0000358; HP:0000272; HP:0000879; HP:0000316; HP:0002859; HP:0000343; HP:0000582; HP:0000252; HP:0000347; HP:0200024; HP:0000369; HP:0008872,21190457; 16411201; 11169558; 9916837; 15475955,DD; Eye,,2017-08-11 17:38:45+00:00
G2P00149,EYA1,601653,3519,BOR,EYA1-related branchiootorenal syndrome,113650,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003691; HP:0000276; HP:0001256; HP:0000691; HP:0009796; HP:0000410; HP:0000175; HP:0200021; HP:0000076; HP:0004467; HP:0000376; HP:0001425; HP:0000110; HP:0003829; HP:0000113; HP:0000006; HP:0000104; HP:0100274; HP:0002566; HP:0009795; HP:0004742; HP:0007678; HP:0009797; HP:0008586; HP:0008551; HP:0000378; HP:0000405; HP:0000460; HP:0000218; HP:0007925; HP:0011094; HP:0003828; HP:0000407; HP:0000384; HP:0010628; HP:0000193; HP:0000275; HP:0000564; HP:0000402; HP:0000472; HP:0000799; HP:0009798; HP:0001374; HP:0004458; HP:0002060; HP:0004712,10655545; 9020840; 9361030; 19206155; 5365063; 16441263,DD; Eye,,2019-10-16 15:29:38+00:00
G2P00159,ALDH18A1,138250,9722,GSAS; P5CS; PYCS; SPG9,ALDH18A1-related spastic paraplegia,616586,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0002013; HP:0003487; HP:0007340; HP:0008897; HP:0000012; HP:0007178; HP:0001347; HP:0004322; HP:0000518; HP:0003743; HP:0001258; HP:0003677; HP:0000006; HP:0003700; HP:0002036; HP:0001260; HP:0001288; HP:0001761; HP:0002127; HP:0007299; HP:0002495; HP:0002061; HP:0000639; HP:0001317; HP:0002750; HP:0002450; HP:0001328; HP:0001498; HP:0002644; HP:0002020; HP:0000020,26297558; 26026163; 26297557,DD; Eye,,2025-01-21 11:57:17+00:00
G2P00167,TCTN2,613846,25774,C12ORF38; FLJ12975; JBTS24; MKS8; TECT2,TCTN2-related Joubert syndrome and related disorders,616654,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,,DD; Eye,,2025-01-21 15:37:29+00:00
G2P00170,TCTN1,609863,26113,FLJ21127; JBTS13; TECT1,TCTN1-related Joubert syndrome and related disorders,614173,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,,DD; Eye,,2025-01-21 15:36:37+00:00
G2P00179,PIK3R1,171833,8979,GRB1; P85; P85-ALPHA; P85ALPHA,PIK3R1-related SHORT syndrome,269880,,monoallelic_autosomal,,definitive,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0003561; HP:0001511; HP:0003074; HP:0010751; HP:0009125; HP:0000750; HP:0000430; HP:0000833; HP:0000689; HP:0007700; HP:0001388; HP:0000518; HP:0100678; HP:0002007; HP:0000006; HP:0000325; HP:0000501; HP:0002715; HP:0000400; HP:0000490; HP:0000668; HP:0001518; HP:0010580; HP:0000558; HP:0000684; HP:0000963; HP:0100578; HP:0002750; HP:0000545; HP:0030084; HP:0000485; HP:0000407; HP:0000431; HP:0009466; HP:0000023; HP:0000347; HP:0000831,23810378; 28472977; 23810379,DD; Eye,,2025-01-27 14:46:10+00:00
G2P00180,VPS13B,607817,2183,BLTP5B; CHS1; COH1,VPS13B-related Cohen syndrome,216550,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000580; HP:0001182; HP:0011505; HP:0001249; HP:0000545; HP:0000556,31580008; 19190672; 24311531; 26104215; 29149870; 30602132; 31444703; 31752730; 31825161; 32170714; 32505691; 32605629; 33025479; 33959574; 34041686; 34322253; 34425733; 34484844; 34898996; 37090188; 37532496; 37692084; 37901634,DD; Eye,,2017-08-31 09:23:46+00:00
G2P00186,HADHA,600890,4801,GBP; LCEH; LCHAD; MTPA,HADHA-related long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,609016,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001252; HP:0001943; HP:0001699; HP:0001638; HP:0100950; HP:0002240; HP:0000488,7811722,DD; Eye,,2017-08-27 23:42:06+00:00
